group, property, sensor_id, unit, datatype
location, "latitude, signed", "0x00010100", degrees, float
location, "longitude, signed", "0x00010200", degrees, float
location, "altitude, signed", "0x00010300", metres, float
location, "accuracy", "0x00010400", metres, float
location, "Is inside geofence", "0x00010500", boolean, boolean
speed, "gps speed", 0x00020100, "m/s", float
energy, "Battery full capacity",0x00030100, mAh, float
energy, "Current battery level",0x00030200, percent, float
energy, "Current battery voltage",0x00030300, V, float
energy, "Is connected to charger",0x00030400, boolean, boolean
orientation, "Heading 0-360 degrees", 0x00040100, degrees, float
orientation, "Yaw, signed", 0x00040200, degrees, float
orientation, "Pitch, signed", 0x00040300, degrees, float
orientation, "Roll, signed", 0x00040400, degrees, float
acceleration, "Longitudinal acceleration, signed", 0x00050100 , g, float
acceleration, "Lateral acceleration, signed", 0x00050200 , g, float
acceleration, "Vertical acceleration, signed", 0x00050300, g, float
acceleration, "Impact, no direction", 0x00050400, g, float
environment, "Temperature, signed", 0x00060100, C, float
environment, "Humidity", 0x00060200, percent, float
environment, "Ambient Light", 0x00060300, percent, float
environment, "Air pressure", 0x00060400, hPa, float
environment, "Magnetic field, longitudinal", 0x00060500, mGauss, float
environment, "Magnetic field, lateral", 0x00060600, mGauss, float
environment, "Magnetic field, vertical", 0x00060700, mGauss, float
hw-keys, "Is power button pressed", 0x00070100, boolean, boolean
hw-keys, "Is proxymity button pressed", 0x00070200, boolean, boolean
